categorized
120
2
6,3,15
7,4,15
7,9,15
7,3,15
7,10,15
7,5,15
5,10,8
6,4,15
7,3,15
7,7,15
7,7,15
6,4,15
7,3,15
7,7,15
7,7,15
6,5,15
4,4,8
7,10,15
6,8,8
6,5,8
7,6,8
7,10,8
4,2,8
6,2,8
5,4,8
4,6,15
7,4,15
4,5,15
5,7,15
7,8,15
7,4,8
2,10,15
1,6,15
7,8,15
7,4,8
2,10,15
1,6,15
6,2,8
7,9,15
3,1,15
4,10,15
4,3,15
5,10,15
2,7,15
3,9,8
2,9,15
4,8,15
5,4,15
6,4,15
3,9,15
4,10,15
3,5,15
4,5,15
4,10,15
5,2,15
4,5,15
4,10,15
5,2,15
4,1,15
1,6,15
4,8,15
1,4,15
6,5,15
4,1,15
1,7,15
5,8,15
3,3,15
3,3,15
4,10,15
7,1,15
4,9,15
4,4,15
1,7,15
7,8,15
4,10,15
1,7,15
4,8,15
1,3,15
6,4,15
4,2,15
4,2,15
1,6,15
5,9,15
3,3,15
1,5,15
6,2,8
7,9,15
3,1,15
4,10,15
4,4,15
5,10,15
2,7,15
3,9,8
2,8,15
3,5,15
4,5,15
4,10,15
5,3,15
4,1,15
4,9,15
7,2,15
4,8,15
4,9,15
7,2,15
4,8,15
4,3,15
1,7,15
7,8,15
4,10,15
7,5,15
4,6,15
5,8,15
7,9,15
7,5,8
7,5,8
2,1,15
4,9,15
5,5,15
6,3,15
3,9,15
3,9,15
