categorized
120
2
5,20,8
4,30,8
4,30,8
5,25,15
5,18,15
5,40,8
6,23,15
4,55,8
7,45,8
4,20,8
6,30,15
4,55,8
7,45,8
4,20,8
6,30,15
4,30,8
4,23,8
5,40,8
5,35,8
5,25,15
3,28,8
3,45,8
6,50,15
7,21,15
4,15,15
6,30,15
7,35,8
4,25,15
7,23,8
7,35,8
5,28,15
4,27,15
7,40,8
5,30,8
4,27,15
7,40,8
5,30,8
7,22,8
6,44,8
7,29,8
7,42,8
2,20,15
7,18,8
3,34,15
1,33,8
6,38,15
6,36,15
7,26,8
5,23,8
6,46,8
5,41,15
5,37,15
6,46,8
5,41,15
5,37,15
6,29,8
6,48,8
4,19,15
5,23,15
2,34,15
1,29,15
7,32,15
5,31,8
3,26,15
4,34,8
3,32,8
4,20,8
7,46,8
7,46,8
4,26,15
5,43,15
7,28,8
4,32,8
5,33,15
5,41,8
2,33,15
1,28,15
7,31,15
5,32,8
3,25,15
4,33,8
3,31,8
3,25,15
4,33,8
3,31,8
4,21,8
5,30,8
7,23,8
6,43,8
7,29,8
7,41,8
2,19,15
7,18,8
3,32,15
7,18,8
3,32,15
1,35,8
6,39,15
5,37,15
6,29,8
6,48,8
4,19,15
5,24,15
7,45,8
4,25,15
5,43,15
7,28,8
4,34,8
5,37,15
5,49,8
4,25,15
7,23,8
7,35,8
5,28,15
5,28,15
4,25,15
7,40,8
6,37,15
7,23,8
5,22,8
6,47,8
