categorized
120
2
7,2,15
6,5,8
6,3,15
0,0,8
6,10,15
3,2,8
7,7,15
5,5,8
6,1,15
5,2,8
5,5,8
6,1,15
5,2,8
6,8,8
7,3,15
6,8,8
6,5,15
7,5,15
5,4,8
6,8,8
5,12,8
6,2,15
6,8,8
5,12,8
6,2,15
5,0,8
7,15,8
5,2,15
2,3,8
6,2,15
6,5,15
3,4,15
2,3,15
5,6,15
7,2,8
5,1,15
4,7,15
5,3,15
5,7,15
5,1,15
3,0,8
4,5,15
5,1,15
3,0,8
4,5,15
4,6,15
5,7,15
7,5,8
6,2,8
4,0,8
5,10,15
3,10,15
7,3,8
7,3,8
2,4,15
5,10,15
1,0,8
6,1,15
6,5,15
6,3,15
6,4,15
6,4,15
7,2,8
2,2,15
3,5,8
6,5,8
1,1,15
5,10,15
6,2,15
6,10,15
5,10,15
6,2,15
6,10,15
6,3,8
6,4,8
3,5,15
7,8,15
6,7,15
6,4,15
6,5,15
7,3,8
2,2,15
3,6,8
6,7,8
1,1,15
7,3,8
5,1,15
4,8,15
5,2,15
5,7,15
5,3,15
3,0,8
4,6,15
4,4,15
5,8,15
7,3,8
4,4,15
5,8,15
7,3,8
2,4,15
5,10,15
1,0,8
6,2,15
5,11,15
6,3,15
6,10,15
6,4,8
6,3,8
3,12,15
7,9,15
2,3,8
6,8,15
6,8,15
6,5,15
3,4,15
2,3,15
5,6,15
7,5,8
6,3,8
4,1,8
5,10,15
