categorized
120
2
3,80,8
2,75,8
2,50,8
6,75,15
3,50,8
2,90,8
6,75,15
3,50,8
2,90,8
3,70,15
2,45,8
5,50,15
4,65,8
2,0,8
1,0,8
2,80,8
1,35,8
1,65,8
1,50,8
4,67,15
1,80,8
2,0,8
2,0,8
3,89,15
1,75,8
5,90,8
2,0,8
2,0,8
3,89,15
1,75,8
5,90,8
2,82,8
1,86,8
1,82,8
5,89,8
1,90,15
2,91,15
1,0,8
1,90,15
1,0,8
2,90,8
7,91,8
1,0,8
6,88,8
6,94,8
3,92,8
1,94,8
1,94,8
1,90,8
2,96,8
2,87,8
2,89,8
1,92,8
1,89,8
7,81,8
3,87,8
1,89,8
7,81,8
3,87,8
5,94,8
2,95,8
4,89,8
2,91,8
7,85,8
6,89,8
7,90,15
7,80,8
6,82,8
1,84,8
2,91,8
1,81,8
7,81,8
7,81,8
1,86,8
2,90,8
5,94,8
2,95,8
4,89,15
2,91,8
7,85,8
6,89,8
7,87,15
7,87,15
7,93,8
2,91,15
1,0,8
1,90,15
1,0,8
2,92,8
7,94,8
1,0,8
6,88,15
6,94,8
3,93,8
2,89,8
1,92,8
1,89,8
7,81,8
3,89,8
1,89,8
7,81,8
3,89,8
6,82,15
1,84,8
2,91,8
1,81,8
7,84,15
1,86,8
2,90,8
5,90,8
2,82,8
1,86,8
1,86,8
1,82,8
5,89,8
1,80,15
1,93,8
1,94,8
1,90,8
2,96,8
2,96,8
